### first equation  : (1 * (1 + (2 * 6))) = 13
### second equation : ( (1 + 1) * (2 * 6) ) = 24

(1, 2, 7, 3) ('+', '+', '*') [24] [24]
(1, 2, 7, 5) ('*', '*', '+') [24] [24]
(1, 2, 7, 5) ('*', '/', '+') [6.0] [24.0]
(1, 2, 7, 5) ('/', '*', '+') [24.0] [6.0]
(1, 2, 8, 1) ('*', '+', '*') [10] [24]
(1, 2, 8, 3) ('*', '-', '*') [22] [24]
(1, 2, 8, 3) ('/', '-', '*') [22.0] [24.0]
(1, 2, 8, 4) ('*', '*', '+') [24] [24]
(1, 2, 8, 4) ('*', '/', '+') [6.0] [24.0]
(1, 2, 8, 4) ('/', '*', '+') [24.0] [6.0]
(1, 2, 8, 6) ('*', '/', '*') [24.0] [96.0]
(1, 2, 8, 6) ('/', '*', '*') [96.0] [24.0]
(1, 2, 8, 6) ('/', '/', '*') [24.0] [24.0]
(1, 2, 8, 9) ('/', '+', '*') [74.0] [24.0]
(1, 2, 9, 3) ('*', '*', '+') [24] [24]
(1, 2, 9, 3) ('*', '/', '+') [6.0] [24.0]
(1, 2, 9, 3) ('-', '+', '*') [28] [24]
(1, 2, 9, 3) ('-', '-', '*') [24] [26]
(1, 2, 9, 3) ('/', '*', '+') [24.0] [6.0]
(1, 2, 9, 8) ('/', '+', '*') [74.0] [24.0]
(1, 2, 10, 2) ('*', '*', '+') [24] [24]
(1, 2, 10, 2) ('*', '/', '+') [6.0] [24.0]
(1, 2, 10, 2) ('/', '*', '+') [24.0] [6.0]
(1, 2, 10, 5) ('-', '/', '*') [24.0] [48.0]
(1, 3, 1, 5) ('*', '+', '+') [9] [24]
(1, 3, 1, 6) ('*', '+', '*') [9] [24]
(1, 3, 1, 6) ('*', '+', '/') [9.0] [24.0]
(1, 3, 1, 7) ('*', '+', '-') [9] [24]
(1, 3, 1, 7) ('*', '*', '+') [24] [24]
(1, 3, 1, 7) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 1, 7) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 1, 8) ('*', '*', '*') [24] [24]
(1, 3, 1, 8) ('*', '*', '/') [24.0] [24.0]
(1, 3, 1, 8) ('*', '/', '*') [2.6666666666666665] [24.0]
(1, 3, 1, 8) ('*', '/', '/') [2.6666666666666665] [24.0]
(1, 3, 1, 8) ('/', '*', '*') [24.0] [2.6666666666666665]
(1, 3, 1, 8) ('/', '*', '/') [24.0] [2.6666666666666665]
(1, 3, 1, 9) ('*', '*', '-') [24] [24]
(1, 3, 1, 9) ('*', '/', '-') [2.6666666666666665] [24.0]
(1, 3, 1, 9) ('/', '*', '-') [24.0] [2.6666666666666665]
(1, 3, 2, 3) ('*', '+', '*') [9] [24]
(1, 3, 2, 4) ('*', '+', '+') [9] [24]
(1, 3, 2, 4) ('*', '*', '*') [24] [24]
(1, 3, 2, 4) ('*', '/', '*') [2.6666666666666665] [24.0]
(1, 3, 2, 4) ('/', '*', '*') [24.0] [2.6666666666666665]
(1, 3, 2, 6) ('*', '*', '+') [24] [24]
(1, 3, 2, 6) ('*', '-', '*') [9] [24]
(1, 3, 2, 6) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 2, 6) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 2, 8) ('*', '+', '-') [9] [24]
(1, 3, 2, 10) ('+', '+', '*') [24] [24]
(1, 3, 2, 10) ('*', '*', '-') [24] [24]
(1, 3, 2, 10) ('*', '-', '+') [9] [24]
(1, 3, 2, 10) ('*', '/', '-') [2.6666666666666665] [24.0]
(1, 3, 2, 10) ('/', '*', '-') [24.0] [2.6666666666666665]
(1, 3, 3, 2) ('*', '+', '*') [9] [24]
(1, 3, 3, 3) ('*', '+', '+') [9] [24]
(1, 3, 3, 4) ('*', '-', '*') [9] [24]
(1, 3, 3, 5) ('*', '*', '+') [24] [24]
(1, 3, 3, 5) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 3, 5) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 3, 7) ('+', '*', '*') [64] [24]
(1, 3, 3, 7) ('+', '/', '*') [8.0] [24.0]
(1, 3, 3, 7) ('*', '+', '*') [24] [84]
(1, 3, 3, 7) ('/', '+', '*') [24.0] [5.25]
(1, 3, 3, 9) ('*', '+', '-') [9] [24]
(1, 3, 3, 9) ('*', '-', '+') [9] [24]
(1, 3, 3, 9) ('*', '-', '*') [24] [54]
(1, 3, 3, 9) ('-', '*', '*') [80] [24]
(1, 3, 3, 9) ('-', '/', '*') [8.0] [24.0]
(1, 3, 3, 9) ('/', '-', '*') [24.0] [13.5]
(1, 3, 4, 2) ('*', '+', '+') [9] [24]
(1, 3, 4, 2) ('*', '*', '*') [24] [24]
(1, 3, 4, 2) ('*', '/', '*') [2.6666666666666665] [24.0]
(1, 3, 4, 2) ('/', '*', '*') [24.0] [2.6666666666666665]
(1, 3, 4, 3) ('*', '-', '*') [9] [24]
(1, 3, 4, 4) ('*', '*', '+') [24] [24]
(1, 3, 4, 4) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 4, 4) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 4, 5) ('+', '+', '*') [24] [24]
(1, 3, 4, 7) ('-', '+', '*') [30] [24]
(1, 3, 4, 7) ('-', '-', '*') [24] [26]
(1, 3, 4, 8) ('*', '-', '+') [9] [24]
(1, 3, 4, 10) ('*', '+', '-') [9] [24]
(1, 3, 5, 1) ('*', '+', '+') [9] [24]
(1, 3, 5, 3) ('*', '*', '+') [24] [24]
(1, 3, 5, 3) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 5, 3) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 5, 4) ('+', '+', '*') [24] [24]
(1, 3, 5, 7) ('*', '-', '+') [9] [24]
(1, 3, 6, 1) ('*', '+', '*') [9] [24]
(1, 3, 6, 2) ('*', '*', '+') [24] [24]
(1, 3, 6, 2) ('*', '-', '*') [9] [24]
(1, 3, 6, 2) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 6, 2) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 6, 6) ('*', '-', '+') [9] [24]
(1, 3, 6, 8) ('/', '-', '*') [45.0] [24.0]
(1, 3, 7, 1) ('*', '*', '+') [24] [24]
(1, 3, 7, 1) ('*', '/', '+') [2.6666666666666665] [24.0]
(1, 3, 7, 1) ('/', '*', '+') [24.0] [2.6666666666666665]
(1, 3, 7, 3) ('+', '*', '*') [64] [24]
(1, 3, 7, 3) ('+', '/', '*') [8.0] [24.0]
(1, 3, 7, 3) ('*', '+', '*') [24] [84]
(1, 3, 7, 3) ('/', '+', '*') [24.0] [5.25]
(1, 3, 7, 4) ('-', '+', '*') [30] [24]
(1, 3, 7, 4) ('-', '-', '*') [24] [26]
(1, 3, 7, 5) ('*', '-', '+') [9] [24]
(1, 3, 8, 1) ('*', '*', '*') [24] [24]
(1, 3, 8, 1) ('*', '/', '*') [2.6666666666666665] [24.0]
(1, 3, 8, 1) ('/', '*', '*') [24.0] [2.6666666666666665]
(1, 3, 8, 4) ('*', '-', '+') [9] [24]
(1, 3, 8, 6) ('/', '-', '*') [45.0] [24.0]
(1, 3, 8, 9) ('*', '/', '*') [24.0] [216.0]
(1, 3, 8, 9) ('/', '*', '*') [216.0] [24.0]
(1, 3, 8, 9) ('/', '/', '*') [24.0] [24.0]
(1, 3, 9, 3) ('*', '-', '+') [9] [24]
(1, 3, 9, 3) ('*', '-', '*') [24] [54]
(1, 3, 9, 3) ('-', '*', '*') [80] [24]
(1, 3, 9, 3) ('-', '/', '*') [8.0] [24.0]
(1, 3, 9, 3) ('/', '-', '*') [24.0] [13.5]
(1, 3, 9, 8) ('*', '/', '*') [24.0] [216.0]
(1, 3, 9, 8) ('/', '*', '*') [216.0] [24.0]
(1, 3, 9, 8) ('/', '/', '*') [24.0] [24.0]
(1, 3, 10, 2) ('+', '+', '*') [24] [24]
(1, 3, 10, 2) ('*', '-', '+') [9] [24]
(1, 3, 10, 10) ('+', '+', '+') [24] [24]
(1, 4, 1, 5) ('*', '*', '+') [24] [24]
(1, 4, 1, 5) ('*', '/', '+') [1.5] [24.0]
(1, 4, 1, 5) ('/', '*', '+') [24.0] [1.5]
(1, 4, 1, 6) ('*', '*', '*') [24] [24]
(1, 4, 1, 6) ('*', '*', '/') [24.0] [24.0]
(1, 4, 1, 6) ('*', '/', '*') [1.5] [24.0]
(1, 4, 1, 6) ('*', '/', '/') [1.5] [24.0]
(1, 4, 1, 6) ('/', '*', '*') [24.0] [1.5]
(1, 4, 1, 6) ('/', '*', '/') [24.0] [1.5]
(1, 4, 1, 7) ('*', '*', '-') [24] [24]
(1, 4, 1, 7) ('*', '-', '+') [4] [24]
(1, 4, 1, 7) ('*', '/', '-') [1.5] [24.0]
(1, 4, 1, 7) ('/', '*', '-') [24.0] [1.5]
(1, 4, 1, 8) ('*', '-', '*') [4] [24]
(1, 4, 1, 8) ('*', '-', '/') [4.0] [24.0]
(1, 4, 1, 9) ('*', '-', '-') [4] [24]
(1, 4, 2, 3) ('*', '*', '*') [24] [24]
(1, 4, 2, 3) ('*', '/', '*') [1.5] [24.0]
(1, 4, 2, 3) ('/', '*', '*') [24.0] [1.5]
(1, 4, 2, 4) ('*', '*', '+') [24] [24]
(1, 4, 2, 4) ('*', '-', '*') [4] [24]
(1, 4, 2, 4) ('*', '/', '+') [1.5] [24.0]
(1, 4, 2, 4) ('/', '*', '+') [24.0] [1.5]
(1, 4, 2, 6) ('*', '-', '+') [4] [24]
(1, 4, 2, 8) ('*', '*', '-') [24] [24]
(1, 4, 2, 8) ('*', '/', '-') [1.5] [24.0]
(1, 4, 2, 8) ('/', '*', '-') [24.0] [1.5]
(1, 4, 2, 10) ('+', '*', '*') [81] [24]
(1, 4, 2, 10) ('+', '/', '*') [6.0] [24.0]
(1, 4, 2, 10) ('*', '+', '*') [24] [100]
(1, 4, 2, 10) ('*', '-', '-') [4] [24]
(1, 4, 2, 10) ('/', '+', '*') [24.0] [4.0]
(1, 4, 3, 2) ('*', '*', '*') [24] [24]
(1, 4, 3, 2) ('*', '/', '*') [1.5] [24.0]
(1, 4, 3, 2) ('/', '*', '*') [24.0] [1.5]
(1, 4, 3, 3) ('*', '*', '+') [24] [24]
(1, 4, 3, 3) ('*', '/', '+') [1.5] [24.0]
(1, 4, 3, 3) ('/', '*', '+') [24.0] [1.5]
(1, 4, 3, 5) ('*', '-', '+') [4] [24]
(1, 4, 3, 7) ('+', '-', '*') [18] [24]
(1, 4, 3, 7) ('-', '+', '*') [24] [16]
(1, 4, 3, 9) ('+', '-', '*') [24] [30]
(1, 4, 3, 9) ('*', '*', '-') [24] [24]
(1, 4, 3, 9) ('*', '/', '-') [1.5] [24.0]
(1, 4, 3, 9) ('-', '-', '*') [22] [24]
(1, 4, 3, 9) ('/', '*', '-') [24.0] [1.5]
(1, 4, 4, 2) ('*', '*', '+') [24] [24]
(1, 4, 4, 2) ('*', '-', '*') [4] [24]
(1, 4, 4, 2) ('*', '/', '+') [1.5] [24.0]
(1, 4, 4, 2) ('/', '*', '+') [24.0] [1.5]
(1, 4, 4, 4) ('*', '-', '+') [4] [24]
(1, 4, 4, 5) ('+', '*', '*') [81] [24]
(1, 4, 4, 5) ('+', '/', '*') [6.0] [24.0]
(1, 4, 4, 5) ('*', '+', '*') [24] [100]
(1, 4, 4, 5) ('/', '+', '*') [24.0] [4.0]
(1, 4, 4, 7) ('*', '-', '*') [24] [84]
(1, 4, 4, 7) ('-', '*', '*') [111] [24]
(1, 4, 4, 7) ('-', '/', '*') [6.0] [24.0]
(1, 4, 4, 7) ('/', '-', '*') [24.0] [9.3333333333333339]
(1, 4, 4, 10) ('*', '*', '-') [24] [24]
(1, 4, 4, 10) ('*', '/', '-') [1.5] [24.0]
(1, 4, 4, 10) ('/', '*', '-') [24.0] [1.5]
(1, 4, 5, 1) ('*', '*', '+') [24] [24]
(1, 4, 5, 1) ('*', '/', '+') [1.5] [24.0]
(1, 4, 5, 1) ('/', '*', '+') [24.0] [1.5]
(1, 4, 5, 3) ('*', '-', '+') [4] [24]
(1, 4, 5, 4) ('+', '*', '*') [81] [24]
(1, 4, 5, 4) ('+', '/', '*') [6.0] [24.0]
(1, 4, 5, 4) ('*', '+', '*') [24] [100]
(1, 4, 5, 4) ('/', '+', '*') [24.0] [4.0]
(1, 4, 6, 1) ('*', '*', '*') [24] [24]
(1, 4, 6, 1) ('*', '/', '*') [1.5] [24.0]
(1, 4, 6, 1) ('/', '*', '*') [24.0] [1.5]
(1, 4, 6, 2) ('*', '-', '+') [4] [24]
(1, 4, 7, 1) ('*', '-', '+') [4] [24]
(1, 4, 7, 3) ('+', '-', '*') [18] [24]
(1, 4, 7, 3) ('-', '+', '*') [24] [16]
(1, 4, 7, 4) ('*', '-', '*') [24] [84]
(1, 4, 7, 4) ('-', '*', '*') [111] [24]
(1, 4, 7, 4) ('-', '/', '*') [6.0] [24.0]
(1, 4, 7, 4) ('/', '-', '*') [24.0] [9.3333333333333339]
(1, 4, 8, 1) ('*', '-', '*') [4] [24]
(1, 4, 8, 9) ('/', '-', '*') [68.0] [24.0]
(1, 4, 9, 3) ('+', '-', '*') [24] [30]
(1, 4, 9, 3) ('-', '-', '*') [22] [24]
(1, 4, 9, 8) ('/', '-', '*') [68.0] [24.0]
(1, 4, 9, 10) ('+', '+', '+') [24] [24]
(1, 4, 10, 2) ('+', '*', '*') [81] [24]
(1, 4, 10, 2) ('+', '/', '*') [6.0] [24.0]
(1, 4, 10, 2) ('*', '+', '*') [24] [100]
(1, 4, 10, 2) ('/', '+', '*') [24.0] [4.0]
(1, 4, 10, 9) ('+', '+', '+') [24] [24]
(1, 4, 10, 10) ('+', '*', '+') [81] [24]
(1, 4, 10, 10) ('+', '/', '+') [6.0] [24.0]
(1, 4, 10, 10) ('*', '+', '+') [24] [100]
(1, 4, 10, 10) ('-', '/', '*') [24.0] [96.0]
(1, 4, 10, 10) ('/', '+', '+') [24.0] [4.0]
(1, 5, 1, 3) ('*', '+', '+') [9] [24]
(1, 5, 1, 4) ('*', '+', '*') [9] [24]
(1, 5, 1, 4) ('*', '+', '/') [9.0] [24.0]
(1, 5, 1, 4) ('-', '*', '+') [24] [0]
(1, 5, 1, 5) ('*', '+', '-') [9] [24]
(1, 5, 1, 5) ('*', '-', '+') [1] [24]
(1, 5, 1, 5) ('-', '*', '*') [24] [0]
(1, 5, 1, 5) ('-', '*', '/') [24.0] [0.0]
(1, 5, 1, 6) ('*', '-', '*') [1] [24]
(1, 5, 1, 6) ('*', '-', '/') [1.0] [24.0]
(1, 5, 1, 6) ('-', '*', '-') [24] [0]
(1, 5, 1, 7) ('*', '-', '-') [1] [24]
(1, 5, 2, 2) ('*', '+', '+') [9] [24]
(1, 5, 2, 2) ('*', '+', '*') [9] [24]
(1, 5, 2, 3) ('*', '-', '*') [1] [24]
(1, 5, 2, 3) ('-', '*', '+') [24] [0]
(1, 5, 2, 4) ('*', '-', '+') [1] [24]
(1, 5, 2, 6) ('*', '+', '-') [9] [24]
(1, 5, 2, 7) ('-', '*', '-') [24] [0]
(1, 5, 2, 8) ('*', '+', '/') [9.0] [24.0]
(1, 5, 2, 8) ('*', '-', '-') [1] [24]
(1, 5, 2, 9) ('+', '+', '*') [24] [24]
(1, 5, 2, 10) ('+', '-', '*') [16] [24]
(1, 5, 2, 10) ('-', '+', '*') [24] [14]
(1, 5, 2, 10) ('-', '*', '/') [24.0] [0.0]
(1, 5, 3, 1) ('*', '+', '+') [9] [24]
(1, 5, 3, 2) ('*', '-', '*') [1] [24]
(1, 5, 3, 2) ('-', '*', '+') [24] [0]
(1, 5, 3, 3) ('*', '-', '+') [1] [24]
(1, 5, 3, 6) ('+', '+', '*') [24] [24]
(1, 5, 3, 7) ('*', '+', '-') [9] [24]
(1, 5, 3, 8) ('-', '*', '-') [24] [0]
(1, 5, 3, 9) ('*', '-', '-') [1] [24]
(1, 5, 3, 10) ('-', '+', '*') [34] [24]
(1, 5, 3, 10) ('-', '-', '*') [24] [26]
(1, 5, 4, 1) ('*', '+', '*') [9] [24]
(1, 5, 4, 1) ('-', '*', '+') [24] [0]
(1, 5, 4, 2) ('*', '-', '+') [1] [24]
(1, 5, 4, 5) ('+', '-', '*') [16] [24]
(1, 5, 4, 5) ('-', '+', '*') [24] [14]
(1, 5, 4, 7) ('+', '-', '*') [24] [32]
(1, 5, 4, 7) ('-', '-', '*') [22] [24]
(1, 5, 4, 8) ('*', '+', '-') [9] [24]
(1, 5, 4, 9) ('-', '*', '-') [24] [0]
(1, 5, 4, 10) ('*', '-', '-') [1] [24]
(1, 5, 5, 1) ('*', '-', '+') [1] [24]
(1, 5, 5, 1) ('-', '*', '*') [24] [0]
(1, 5, 5, 4) ('+', '-', '*') [16] [24]
